sku,title,brand,category,subcategory,price,stock,condition,color,description,is_new,is_active,image_1
IP-17E-512-PINK-US-ESIM,,,,,,,,,,,,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17e-finish-select-softpink-202603?wid=1200&hei=1200&fmt=jpeg&qlt=90
IP-17E-256-WHITE-IN-SIM,,,,,,,,,,,,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17e-finish-select-white-202603?wid=1200&hei=1200&fmt=jpeg&qlt=90
IP-17E-256-WHITE-USJP-ESIM,,,,,,,,,,,,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17e-finish-select-white-202603?wid=1200&hei=1200&fmt=jpeg&qlt=90
IP-17E-512-WHITE-IN-SIM,,,,,,,,,,,,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17e-finish-select-white-202603?wid=1200&hei=1200&fmt=jpeg&qlt=90
IP-17E-512-WHITE-JP-ESIM,,,,,,,,,,,,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17e-finish-select-white-202603?wid=1200&hei=1200&fmt=jpeg&qlt=90
DYS-BP04-PRUSSIAN-BLU-GLD,,,,,,,,,,,,https://images.biggeek.ru/1/870/fcf8/35576-45535576@2x.png
DYS-HD19-CER-PNK-SG,,,,,,,,,,,,https://images.biggeek.ru/1/870/4f7f/38173-929Web_921_T1T2_primary@2x.png
DYS-HS09-2026-JAS-PLM-KR,,,,,,,,,,,,https://images.biggeek.ru/1/870/2bfb/38772-69934331-38934331@2x.png
DYS-HS09-2026-CER-PNK-KR,,,,,,,,,,,,https://images.biggeek.ru/1/870/811e/38773-7734327-30534327@2x.png
DYS-TP12-DENOX-WHT-GLD-SG,,,,,,,,,,,,https://images.biggeek.ru/1/870/74ab/35981-8835981@2x.png
DYS-TP14-FIND-FOLLOW-WHT-GLD-KR,,,,,,,,,,,,https://www.electricshop.com/cdn/shop/files/dyson-find-follow-purifier-cool-pc3-purifying-fan-tp14-white-gold-1239333408.jpg
MXCL3RS/A,Apple Magic Keyboard USB-C Silver (RU),Apple,аксессуары,Magic Keyboard,11000,1,new,Silver,"Беспроводная клавиатура Apple Magic Keyboard с разъёмом USB-C для зарядки. Русская раскладка, заводское исполнение.",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MXCL3?wid=1200&hei=1200&fmt=jpeg&qlt=90
MXCK3RS/A,Apple Magic Keyboard USB-C с Touch ID Silver (RU),Apple,аксессуары,Magic Keyboard,16000,1,new,Silver,"Apple Magic Keyboard с датчиком Touch ID: разблокировка Mac и оплата Apple Pay касанием. Зарядка через USB-C, русская раскладка.",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MXCK3?wid=1200&hei=1200&fmt=jpeg&qlt=90
MXK73RS/A,Apple Magic Keyboard USB-C с Touch ID и цифровым блоком White (RU),Apple,аксессуары,Magic Keyboard,21900,1,new,White,"Полноразмерная Apple Magic Keyboard с Touch ID и цифровым блоком, белые клавиши. Зарядка через USB-C, русская раскладка.",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MXK73?wid=1200&hei=1200&fmt=jpeg&qlt=90
MXK83RS/A,Apple Magic Keyboard USB-C с Touch ID и цифровым блоком Black (RU),Apple,аксессуары,Magic Keyboard,23000,1,new,Black,"Полноразмерная Apple Magic Keyboard с Touch ID и цифровым блоком в чёрном исполнении. Зарядка через USB-C, русская раскладка.",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MXK83?wid=1200&hei=1200&fmt=jpeg&qlt=90
